fg,fa,fv,tg,ta,tv
org.hamcrest,hamcrest-core,1.1,org.hamcrest,hamcrest-parent,1.1
org.hamcrest,hamcrest-core,1.3,org.hamcrest,hamcrest-parent,1.3
org.hamcrest,hamcrest-library,1.3,org.hamcrest,hamcrest-parent,1.3
org.slf4j,slf4j-api,1.1.0,org.slf4j,slf4j-parent,1.1.0
org.slf4j,slf4j-api,1.1.0-RC1,org.slf4j,slf4j-parent,1.1.0-RC1
org.slf4j,slf4j-api,${parent.version},org.slf4j,slf4j-parent,1.1.0-beta0
org.slf4j,slf4j-api,1.2,org.slf4j,slf4j-parent,1.2
org.slf4j,slf4j-api,1.3.0,org.slf4j,slf4j-parent,1.3.0
org.slf4j,slf4j-api,1.3.1,org.slf4j,slf4j-parent,1.3.1
org.slf4j,slf4j-api,1.4.0,org.slf4j,slf4j-parent,1.4.0
org.slf4j,slf4j-api,1.4.1,org.slf4j,slf4j-parent,1.4.1
org.slf4j,slf4j-api,1.4.2,org.slf4j,slf4j-parent,1.4.2
org.slf4j,slf4j-api,1.5.0,org.slf4j,slf4j-parent,1.5.0
org.slf4j,slf4j-api,1.5.0-M0,org.slf4j,slf4j-parent,1.5.0-M0
org.slf4j,slf4j-api,1.5.10,org.slf4j,slf4j-parent,1.5.10
org.slf4j,slf4j-api,1.5.11,org.slf4j,slf4j-parent,1.5.11
org.slf4j,slf4j-api,1.5.2,org.slf4j,slf4j-parent,1.5.2
org.slf4j,slf4j-api,1.5.3,org.slf4j,slf4j-parent,1.5.3
org.slf4j,slf4j-api,1.5.4,org.slf4j,slf4j-parent,1.5.4
org.slf4j,slf4j-api,1.5.5,org.slf4j,slf4j-parent,1.5.5
org.slf4j,slf4j-api,1.5.6,org.slf4j,slf4j-parent,1.5.6
org.slf4j,slf4j-api,1.5.7,org.slf4j,slf4j-parent,1.5.7
org.slf4j,slf4j-api,1.5.8,org.slf4j,slf4j-parent,1.5.8
org.slf4j,slf4j-api,1.5.9-RC0,org.slf4j,slf4j-parent,1.5.9-RC0
org.slf4j,slf4j-api,1.5.9.RC1,org.slf4j,slf4j-parent,1.5.9.RC1
org.slf4j,slf4j-api,1.6.0,org.slf4j,slf4j-parent,1.6.0
org.slf4j,slf4j-api,1.6.0-RC0,org.slf4j,slf4j-parent,1.6.0-RC0
org.slf4j,slf4j-api,1.6.0-alpha2,org.slf4j,slf4j-parent,1.6.0-alpha2
org.slf4j,slf4j-api,1.6.1,org.slf4j,slf4j-parent,1.6.1
org.slf4j,slf4j-api,1.6.2,org.slf4j,slf4j-parent,1.6.2
org.slf4j,slf4j-api,1.6.3,org.slf4j,slf4j-parent,1.6.3
org.slf4j,slf4j-api,1.6.4,org.slf4j,slf4j-parent,1.6.4
org.slf4j,slf4j-api,1.6.5,org.slf4j,slf4j-parent,1.6.5
org.slf4j,slf4j-api,1.6.6,org.slf4j,slf4j-parent,1.6.6
org.slf4j,slf4j-api,1.7.0,org.slf4j,slf4j-parent,1.7.0
org.slf4j,slf4j-api,1.7.1,org.slf4j,slf4j-parent,1.7.1
org.slf4j,slf4j-api,1.7.10,org.slf4j,slf4j-parent,1.7.10
org.slf4j,slf4j-api,1.7.11,org.slf4j,slf4j-parent,1.7.11
org.slf4j,slf4j-api,1.7.12,org.slf4j,slf4j-parent,1.7.12
org.slf4j,slf4j-api,1.7.13,org.slf4j,slf4j-parent,1.7.13
org.slf4j,slf4j-api,1.7.14,org.slf4j,slf4j-parent,1.7.14
org.slf4j,slf4j-api,1.7.15,org.slf4j,slf4j-parent,1.7.15
org.slf4j,slf4j-api,1.7.16,org.slf4j,slf4j-parent,1.7.16
org.slf4j,slf4j-api,1.7.18,org.slf4j,slf4j-parent,1.7.18
org.slf4j,slf4j-api,1.7.19,org.slf4j,slf4j-parent,1.7.19
org.slf4j,slf4j-api,1.7.2,org.slf4j,slf4j-parent,1.7.2
org.slf4j,slf4j-api,1.7.20,org.slf4j,slf4j-parent,1.7.20
org.slf4j,slf4j-api,1.7.21,org.slf4j,slf4j-parent,1.7.21
org.slf4j,slf4j-api,1.7.22,org.slf4j,slf4j-parent,1.7.22
org.slf4j,slf4j-api,1.7.23,org.slf4j,slf4j-parent,1.7.23
org.slf4j,slf4j-api,1.7.24,org.slf4j,slf4j-parent,1.7.24
org.slf4j,slf4j-api,1.7.25,org.slf4j,slf4j-parent,1.7.25
org.slf4j,slf4j-api,1.7.26,org.slf4j,slf4j-parent,1.7.26
org.slf4j,slf4j-api,1.7.27,org.slf4j,slf4j-parent,1.7.27
org.slf4j,slf4j-api,1.7.28,org.slf4j,slf4j-parent,1.7.28
org.slf4j,slf4j-api,1.7.29,org.slf4j,slf4j-parent,1.7.29
org.slf4j,slf4j-api,1.7.3,org.slf4j,slf4j-parent,1.7.3
org.slf4j,slf4j-api,1.7.30,org.slf4j,slf4j-parent,1.7.30
org.slf4j,slf4j-api,1.7.31,org.slf4j,slf4j-parent,1.7.31
org.slf4j,slf4j-api,1.7.32,org.slf4j,slf4j-parent,1.7.32
org.slf4j,slf4j-api,1.7.33,org.slf4j,slf4j-parent,1.7.33
org.slf4j,slf4j-api,1.7.34,org.slf4j,slf4j-parent,1.7.34
org.slf4j,slf4j-api,1.7.35,org.slf4j,slf4j-parent,1.7.35
org.slf4j,slf4j-api,1.7.36,org.slf4j,slf4j-parent,1.7.36
org.slf4j,slf4j-api,1.7.4,org.slf4j,slf4j-parent,1.7.4
org.slf4j,slf4j-api,1.7.5,org.slf4j,slf4j-parent,1.7.5
org.slf4j,slf4j-api,1.7.6,org.slf4j,slf4j-parent,1.7.6
org.slf4j,slf4j-api,1.7.7,org.slf4j,slf4j-parent,1.7.7
org.slf4j,slf4j-api,1.7.8,org.slf4j,slf4j-parent,1.7.8
org.slf4j,slf4j-api,1.7.9,org.slf4j,slf4j-parent,1.7.9
org.slf4j,slf4j-api,1.8.0-alpha0,org.slf4j,slf4j-parent,1.8.0-alpha0
org.slf4j,slf4j-api,1.8.0-alpha1,org.slf4j,slf4j-parent,1.8.0-alpha1
org.slf4j,slf4j-api,1.8.0-alpha2,org.slf4j,slf4j-parent,1.8.0-alpha2
org.slf4j,slf4j-api,1.8.0-beta0,org.slf4j,slf4j-parent,1.8.0-beta0
org.slf4j,slf4j-api,1.8.0-beta1,org.slf4j,slf4j-parent,1.8.0-beta1
org.slf4j,slf4j-api,1.8.0-beta2,org.slf4j,slf4j-parent,1.8.0-beta2
org.slf4j,slf4j-api,1.8.0-beta4,org.slf4j,slf4j-parent,1.8.0-beta4
org.slf4j,slf4j-api,2.0.0,org.slf4j,slf4j-parent,2.0.0
org.slf4j,slf4j-api,2.0.0-alpha0,org.slf4j,slf4j-parent,2.0.0-alpha0
org.slf4j,slf4j-api,2.0.0-alpha1,org.slf4j,slf4j-parent,2.0.0-alpha1
org.slf4j,slf4j-api,2.0.0-alpha2,org.slf4j,slf4j-parent,2.0.0-alpha2
org.slf4j,slf4j-api,2.0.0-alpha3,org.slf4j,slf4j-parent,2.0.0-alpha3
org.slf4j,slf4j-api,2.0.0-alpha4,org.slf4j,slf4j-parent,2.0.0-alpha4
org.slf4j,slf4j-api,2.0.0-alpha5,org.slf4j,slf4j-parent,2.0.0-alpha5
org.slf4j,slf4j-api,2.0.0-alpha6,org.slf4j,slf4j-parent,2.0.0-alpha6
org.slf4j,slf4j-api,2.0.0-alpha7,org.slf4j,slf4j-parent,2.0.0-alpha7
org.slf4j,slf4j-api,2.0.0-beta0,org.slf4j,slf4j-parent,2.0.0-beta0
org.slf4j,slf4j-api,2.0.0-beta1,org.slf4j,slf4j-parent,2.0.0-beta1
org.slf4j,slf4j-api,2.0.1,org.slf4j,slf4j-parent,2.0.1
org.slf4j,slf4j-api,2.0.2,org.slf4j,slf4j-parent,2.0.2
org.slf4j,slf4j-api,2.0.3,org.slf4j,slf4j-parent,2.0.3
org.slf4j,slf4j-api,2.0.4,org.slf4j,slf4j-parent,2.0.4
org.slf4j,slf4j-api,2.0.5,org.slf4j,slf4j-parent,2.0.5
org.slf4j,slf4j-api,2.0.6,org.slf4j,slf4j-parent,2.0.6
org.slf4j,slf4j-api,2.0.7,org.slf4j,slf4j-parent,2.0.7
org.slf4j,slf4j-api,2.0.8,org.slf4j,slf4j-parent,2.0.8
org.slf4j,slf4j-parent,2.0.8,org.slf4j,slf4j-bom,2.0.8
org.slf4j,slf4j-api,2.0.9,org.slf4j,slf4j-parent,2.0.9
org.slf4j,slf4j-parent,2.0.9,org.slf4j,slf4j-bom,2.0.9
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.0,org.jetbrains.kotlin,kotlin-project,1.1.0
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.1,org.jetbrains.kotlin,kotlin-project,1.1.1
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.2,org.jetbrains.kotlin,kotlin-project,1.1.2
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.2-2,org.jetbrains.kotlin,kotlin-project,1.1.2-2
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.2-3,org.jetbrains.kotlin,kotlin-project,1.1.2-3
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.2-4,org.jetbrains.kotlin,kotlin-project,1.1.2-4
org.jetbrains.kotlin,kotlin-stdlib-common,1.1.2-5,org.jetbrains.kotlin,kotlin-project,1.1.2-5
com.google.guava,guava,10.0,com.google.guava,guava-parent,10.0
com.google.guava,guava-parent,10.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,10.0,com.google.guava,guava-parent,10.0
com.google.guava,guava,10.0-rc1,com.google.guava,guava-parent,10.0-rc1
com.google.guava,guava-parent,10.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,10.0-rc1,com.google.guava,guava-parent,10.0-rc1
com.google.guava,guava,10.0-rc2,com.google.guava,guava-parent,10.0-rc2
com.google.guava,guava-parent,10.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,10.0-rc2,com.google.guava,guava-parent,10.0-rc2
com.google.guava,guava,10.0-rc3,com.google.guava,guava-parent,10.0-rc3
com.google.guava,guava-parent,10.0-rc3,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,10.0-rc3,com.google.guava,guava-parent,10.0-rc3
com.google.guava,guava,10.0.1,com.google.guava,guava-parent,10.0.1
com.google.guava,guava-parent,10.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,10.0.1,com.google.guava,guava-parent,10.0.1
com.google.guava,guava,11.0,com.google.guava,guava-parent,11.0
com.google.guava,guava-parent,11.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,11.0,com.google.guava,guava-parent,11.0
com.google.guava,guava,11.0-rc1,com.google.guava,guava-parent,11.0-rc1
com.google.guava,guava-parent,11.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,11.0-rc1,com.google.guava,guava-parent,11.0-rc1
com.google.guava,guava,11.0.1,com.google.guava,guava-parent,11.0.1
com.google.guava,guava-parent,11.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,11.0.1,com.google.guava,guava-parent,11.0.1
com.google.guava,guava,11.0.2,com.google.guava,guava-parent,11.0.2
com.google.guava,guava-parent,11.0.2,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,11.0.2,com.google.guava,guava-parent,11.0.2
com.google.guava,guava,12.0,com.google.guava,guava-parent,12.0
com.google.guava,guava-parent,12.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,12.0-rc1,com.google.guava,guava-parent,12.0-rc1
com.google.guava,guava-parent,12.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava-bootstrap,12.0-rc1,com.google.guava,guava-parent,12.0-rc1
com.google.guava,guava,12.0-rc2,com.google.guava,guava-parent,12.0-rc2
com.google.guava,guava-parent,12.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,12.0.1,com.google.guava,guava-parent,12.0.1
com.google.guava,guava-parent,12.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,13.0,com.google.guava,guava-parent,13.0
com.google.guava,guava-parent,13.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,13.0-rc1,com.google.guava,guava-parent,13.0-rc1
com.google.guava,guava-parent,13.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,13.0-rc2,com.google.guava,guava-parent,13.0-rc2
com.google.guava,guava-parent,13.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,13.0.1,com.google.guava,guava-parent,13.0.1
com.google.guava,guava-parent,13.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,14.0,com.google.guava,guava-parent,14.0
com.google.guava,guava-parent,14.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,14.0-rc1,com.google.guava,guava-parent,14.0-rc1
com.google.guava,guava-parent,14.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,14.0-rc2,com.google.guava,guava-parent,14.0-rc2
com.google.guava,guava-parent,14.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,14.0-rc3,com.google.guava,guava-parent,14.0-rc3
com.google.guava,guava-parent,14.0-rc3,org.sonatype.oss,oss-parent,7
com.google.guava,guava,14.0.1,com.google.guava,guava-parent,14.0.1
com.google.guava,guava-parent,14.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,15.0,com.google.guava,guava-parent,15.0
com.google.guava,guava-parent,15.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,15.0-rc1,com.google.guava,guava-parent,15.0-rc1
com.google.guava,guava-parent,15.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,16.0,com.google.guava,guava-parent,16.0
com.google.guava,guava-parent,16.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,16.0-rc1,com.google.guava,guava-parent,16.0-rc1
com.google.guava,guava-parent,16.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,16.0.1,com.google.guava,guava-parent,16.0.1
com.google.guava,guava-parent,16.0.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,17.0,com.google.guava,guava-parent,17.0
com.google.guava,guava-parent,17.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,17.0-rc1,com.google.guava,guava-parent,17.0-rc1
com.google.guava,guava-parent,17.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,17.0-rc2,com.google.guava,guava-parent,17.0-rc2
com.google.guava,guava-parent,17.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,18.0,com.google.guava,guava-parent,18.0
com.google.guava,guava-parent,18.0,org.sonatype.oss,oss-parent,7
com.google.guava,guava,18.0-rc1,com.google.guava,guava-parent,18.0-rc1
com.google.guava,guava-parent,18.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,18.0-rc2,com.google.guava,guava-parent,18.0-rc2
com.google.guava,guava-parent,18.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,19.0,com.google.guava,guava-parent,19.0
com.google.guava,guava-parent,19.0,org.sonatype.oss,oss-parent,7
com.google.errorprone,error_prone_annotations,2.0.2,com.google.errorprone,error_prone_parent,2.0.2
com.google.errorprone,error_prone_parent,2.0.2,org.sonatype.oss,oss-parent,7
com.google.j2objc,j2objc-annotations,0.1,org.sonatype.oss,oss-parent,7
org.codehaus.mojo,animal-sniffer-annotations,1.14,org.codehaus.mojo,animal-sniffer-parent,1.14
org.codehaus.mojo,animal-sniffer-parent,1.14,org.codehaus.mojo,mojo-parent,34
org.codehaus.mojo,mojo-parent,34,org.codehaus,codehaus-parent,4
com.google.guava,guava,19.0-rc1,com.google.guava,guava-parent,19.0-rc1
com.google.guava,guava-parent,19.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,19.0-rc2,com.google.guava,guava-parent,19.0-rc2
com.google.guava,guava-parent,19.0-rc2,org.sonatype.oss,oss-parent,7
com.google.guava,guava,19.0-rc3,com.google.guava,guava-parent,19.0-rc3
com.google.guava,guava-parent,19.0-rc3,org.sonatype.oss,oss-parent,7
com.google.guava,guava,20.0,com.google.guava,guava-parent,20.0
com.google.guava,guava-parent,20.0,org.sonatype.oss,oss-parent,7
com.google.errorprone,error_prone_annotations,2.0.12,com.google.errorprone,error_prone_parent,2.0.12
com.google.errorprone,error_prone_parent,2.0.12,org.sonatype.oss,oss-parent,7
com.google.j2objc,j2objc-annotations,1.1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,20.0-rc1,com.google.guava,guava-parent,20.0-rc1
com.google.guava,guava-parent,20.0-rc1,org.sonatype.oss,oss-parent,7
com.google.guava,guava,21.0,com.google.guava,guava-parent,21.0
com.google.guava,guava-parent,21.0,org.sonatype.oss,oss-parent,7
